food_material,display_name,unit,lci_dataset,climate_change,acidification,ecotoxicity_freshwater,particulate_matter,eutrophication_marine,eutrophication_freshwater,eutrophication_terrestrial,human_toxicity_cancer,human_toxicity_non_cancer,ionising_radiation,land_use,ozone_depletion,photochemical_ozone_formation,resource_use_fossils,resource_use_minerals_metals,water_use
husked_rice,糙米 Husked rice,kg,"Brown rice (raw), at processing {CN} Economic, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",49.95416,0.55758317,5172.1796,3.87E-06,0.19038762,0.01436022,2.5019584,5.64E-08,1.47E-06,0.1752241,2595.5615,2.34E-07,0.16365419,198.70491,7.47E-05,466.7607
wheat_grain,小麥wheat grain,kg,"Wheat grain {RoW}| market for wheat grain | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",24.804516,0.42887127,241.101,3.10E-06,0.27679944,0.018551832,1.8068764,1.09E-08,1.27E-06,0.42368384,5013.9981,4.38E-07,0.10901167,182.23624,0.000138358,245.01342
potato,馬鈴薯Potato,kg,"Potato {RoW}| market for potato | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",3.5487428,0.07328672,155.36378,5.57E-07,0.039870892,0.002138574,0.30832692,2.20E-09,2.27E-07,0.078344809,245.15041,1.69E-07,0.020516083,34.276387,2.16E-05,19.958568
sugar,糖sugar,kg,"Sugar, from sugarcane {GLO}| market for sugar, from sugarcane | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",21.820099,0.33800648,8441.1581,2.54E-06,0.16033589,0.006569314,1.4528019,3.57E-07,4.85E-06,0.28653016,2034.0106,1.74E-06,0.12736644,142.03755,9.83E-05,161.69311
soybean,大豆Soybean,kg,"Soybean {RoW}| market for soybean | Cut-off, S  | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",36.062444,0.034296446,113.73161,2.94E-07,0.13099821,0.003906392,0.13321009,1.19E-08,4.02E-08,0.053053982,1638.3868,1.03E-07,0.035338377,28.487853,1.82E-05,0.41565377
white_cabbage,葉菜類White cabbage,kg,"White cabbage {RoW}| market for white cabbage | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",17.435387,0.11514044,231.10435,1.02E-06,0.08267399,0.004682316,0.37476402,5.12E-09,5.61E-07,1.0931672,291.56214,2.61E-07,0.085653637,202.76038,0.000100345,17.1254
orange,柑橘Orange,kg,"Orange, fresh grade {GLO}| market for orange, fresh grade | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",6.0370841,0.071143557,130.25287,7.78E-07,0.027247163,0.001288602,0.28973696,2.30E-09,2.02E-07,0.10761747,401.241,9.31E-08,0.040422515,60.175962,3.56E-05,90.266988
pig_meat,豬肉Pig meat,kg,"Pig meat, at slaughterhouse {RER} Economic, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",187.81808,3.3825476,66666.076,2.86E-05,0.97586217,0.064715095,15.093891,2.99E-07,6.32E-06,9.3794548,20304.584,1.33E-06,0.6418186,1051.6301,0.000548111,141.45019
dairy_cow_meat,牛肉Dairy cow meat,kg,"Dairy cow meat, at slaughterhouse {RER} Economic, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",68.534543,0.85183646,8042.2863,8.71E-06,0.35654413,0.019485164,3.4564289,7.03E-08,1.16E-06,1.9132654,5998.5163,2.63E-07,0.238503,215.79257,0.000101308,22.251035
chicken_meat,雞肉Chicken meat,kg,"Chicken meat, at slaughterhouse {RER} Economic, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",111.57912,2.9205956,45487.887,2.83E-05,0.62051561,0.049248555,13.144623,2.09E-07,4.12E-06,5.692162,14772.099,1.17E-06,0.5845098,800.50707,0.000340146,106.6287
egg,雞蛋egg,kg,"Consumption egg, at broiler breeding farm {CN} Economic,  S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",3.0588179,0.10792012,1380.1811,9.82E-07,0.019572825,0.00110514,0.48475959,5.98E-09,1.14E-07,0.13031483,377.67429,3.28E-08,0.017239837,25.241623,8.14E-06,4.4788227
landed_fish,魚Landed fish,kg,"Landed fish, at processing {CN} Economic, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",3.2040207,0.02019476,9.1124222,3.06E-07,0.00851169,0.000253308,0.092991568,1.49E-08,1.66E-08,0.034598497,3.950439,4.66E-08,0.029430282,41.608311,1.66E-05,0.14705335
cow_milk,鮮奶cow milk,kg,"Cow milk {GLO}| market for cow milk | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",35.608074,0.41250997,300.30816,3.31E-06,0.17412792,0.006592636,1.7184258,9.08E-09,1.89E-07,0.67089701,17988.051,2.44E-07,0.092099783,174.90391,0.000136057,35.903064
soybean_oil,大豆油Soybean oil,kg,"Soybean oil, crude {RoW}| market for soybean oil, crude | Cut-off, S | Transport, truck >20t, EURO5, 80%LF, default {GLO} Economic, S",100.16748,0.12538668,893.7991,1.24E-06,0.38520135,0.011009974,0.4424,3.81E-08,3.22E-07,0.2928187,4639.5582,4.71E-07,0.15420468,132.4252,7.26E-05,1.9505928
